match_date,Winners
10/14/2016,VIRTUS.PRO
10/13/2016,DIGNITAS
10/13/2016,G2
10/13/2016,ENVY
10/13/2016,MOUSESPORTS
10/13/2016,FLIPSID3
10/13/2016,NATUS VINCERE
10/13/2016,ASTRALIS
10/13/2016,VIRTUS.PRO
10/13/2016,FAZE
10/13/2016,ENVY
10/13/2016,HEROIC
10/12/2016,SK
10/12/2016,LIQUID
10/12/2016,FAZE
10/12/2016,FAZE
10/12/2016,HEROIC
10/12/2016,FNATIC
10/12/2016,G2
10/12/2016,ENVY
10/12/2016,FNATIC
10/12/2016,GODSENT
10/12/2016,NATUS VINCERE
10/12/2016,VIRTUS.PRO
10/12/2016,ENVY
10/12/2016,VIRTUS.PRO
10/12/2016,FAZE
10/12/2016,SK
10/12/2016,SK
10/11/2016,FAZE
10/11/2016,FAZE
10/11/2016,FNATIC
10/11/2016,FNATIC
10/10/2016,MOUSESPORTS
10/10/2016,MOUSESPORTS
10/9/2016,SK
10/9/2016,SK
10/9/2016,FNATIC
10/9/2016,FNATIC
10/9/2016,MOUSESPORTS
10/9/2016,MOUSESPORTS
10/8/2016,CLOUD9
10/8/2016,CLOUD9
10/8/2016,VIRTUS.PRO
10/8/2016,DIGNITAS
10/8/2016,GODSENT
10/7/2016,CLOUD9
10/7/2016,LIQUID
10/7/2016,IMMORTALS
10/7/2016,OPTIC
10/7/2016,ENVY
10/5/2016,IMMORTALS
10/5/2016,LIQUID
10/5/2016,DIGNITAS
10/5/2016,MOUSESPORTS
10/5/2016,DIGNITAS
10/5/2016,MOUSESPORTS
10/5/2016,FNATIC
10/5/2016,NIP
10/5/2016,ENVY
10/5/2016,NIP
10/4/2016,VIRTUS.PRO
10/4/2016,FNATIC
10/4/2016,FNATIC
10/4/2016,MOUSESPORTS
10/4/2016,HEROIC
10/4/2016,FLIPSID3
10/3/2016,NATUS VINCERE
10/2/2016,VIRTUS.PRO
10/2/2016,NATUS VINCERE
10/2/2016,GAMBIT
10/2/2016,VIRTUS.PRO
10/1/2016,SK
10/1/2016,OPTIC
10/1/2016,NATUS VINCERE
10/1/2016,OPTIC
9/30/2016,VIRTUS.PRO
9/30/2016,SK
9/30/2016,NATUS VINCERE
9/30/2016,LIQUID
9/30/2016,NATUS VINCERE
9/30/2016,SK
9/30/2016,ASTRALIS
9/29/2016,GODSENT
9/27/2016,OPTIC
9/27/2016,IMMORTALS
9/27/2016,DIGNITAS
9/27/2016,DIGNITAS
9/27/2016,VIRTUS.PRO
9/27/2016,VIRTUS.PRO
9/27/2016,DIGNITAS
9/26/2016,ASTRALIS
9/26/2016,ASTRALIS
9/26/2016,VIRTUS.PRO
9/26/2016,FLIPSID3
9/25/2016,FAZE
9/25/2016,FAZE
9/25/2016,ENVY
9/24/2016,SK
9/24/2016,VIRTUS.PRO
9/24/2016,MOUSESPORTS
9/23/2016,DIGNITAS
9/22/2016,IMMORTALS
9/22/2016,IMMORTALS
9/22/2016,NATUS VINCERE
9/22/2016,VIRTUS.PRO
9/22/2016,SK
9/22/2016,SK
9/21/2016,OPTIC
9/21/2016,OPTIC
9/21/2016,DIGNITAS
9/21/2016,HEROIC
9/21/2016,G2
9/21/2016,ENVY
9/21/2016,ENVY
9/21/2016,CLOUD9
9/21/2016,ECHO FOX
9/20/2016,GODSENT
9/20/2016,NIP
9/20/2016,HEROIC
9/20/2016,NIP
9/20/2016,MOUSESPORTS
9/20/2016,HEROIC
9/20/2016,NATUS VINCERE
9/20/2016,OPTIC
9/19/2016,IMMORTALS
9/18/2016,OPTIC
9/18/2016,VIRTUS.PRO
9/18/2016,VIRTUS.PRO
9/18/2016,CLOUD9
9/17/2016,DIGNITAS
9/17/2016,ENVY
9/17/2016,DIGNITAS
9/17/2016,ENVY
9/16/2016,CLOUD9
9/16/2016,VIRTUS.PRO
9/16/2016,FAZE
9/16/2016,HEROIC
9/16/2016,CLOUD9
9/16/2016,VIRTUS.PRO
9/15/2016,ECHO FOX
9/15/2016,NIP
9/15/2016,NATUS VINCERE
9/14/2016,MOUSESPORTS
9/14/2016,HEROIC
9/14/2016,MOUSESPORTS
9/14/2016,ASTRALIS
9/14/2016,NIP
9/14/2016,OPTIC
9/13/2016,IMMORTALS
9/13/2016,DIGNITAS
9/13/2016,FLIPSID3
9/13/2016,G2
9/13/2016,MOUSESPORTS
9/13/2016,MOUSESPORTS
9/13/2016,DIGNITAS
9/11/2016,NIP
9/11/2016,G2
9/11/2016,NIP
9/10/2016,DIGNITAS
9/10/2016,G2
9/10/2016,NIP
9/10/2016,CLOUD9
9/9/2016,FLIPSID3
9/9/2016,DIGNITAS
9/8/2016,ENVY
9/8/2016,ASTRALIS
9/8/2016,DIGNITAS
9/8/2016,G2
9/8/2016,NIP
9/7/2016,CLOUD9
9/7/2016,HEROIC
9/7/2016,FAZE
9/7/2016,GODSENT
9/5/2016,GODSENT
9/4/2016,IMMORTALS
9/4/2016,ASTRALIS
9/4/2016,ASTRALIS
9/4/2016,FAZE
9/4/2016,ASTRALIS
9/4/2016,ENVY
9/4/2016,MOUSESPORTS
9/4/2016,FAZE
9/3/2016,CLOUD9
9/3/2016,HEROIC
9/1/2016,NIP
9/1/2016,NIP
9/1/2016,NATUS VINCERE
9/1/2016,NATUS VINCERE
8/31/2016,G2
8/31/2016,MOUSESPORTS
8/31/2016,DIGNITAS
8/31/2016,ASTRALIS
8/31/2016,VIRTUS.PRO
8/30/2016,ASTRALIS
8/30/2016,MOUSESPORTS
8/30/2016,FAZE
8/30/2016,FAZE
8/30/2016,LIQUID
8/30/2016,LIQUID
8/29/2016,G2
8/29/2016,G2
8/29/2016,GODSENT
8/28/2016,CLOUD9
8/28/2016,CLOUD9
8/27/2016,HEROIC
8/27/2016,HEROIC
8/26/2016,DIGNITAS
8/25/2016,NIP
8/25/2016,ASTRALIS
8/25/2016,ENVY
8/25/2016,NIP
8/25/2016,DIGNITAS
8/25/2016,DIGNITAS
